Sales Person,Geography,Product,Date,Amount,Boxes
Mallorie Waber,Canada,Choco Coated Almonds,3/18/2021,5236,175
Wilone O'Kielt,India,Mint Chip Choco,3/18/2021,1162,62
Gigi Bohling,Australia,Eclairs,3/19/2021,2366,375
Madelene Upcott,UK,70% Dark Bites,3/19/2021,189,251
Kaine Padly,New Zealand,99% Dark & Pure,3/19/2021,12628,76
Gigi Bohling,New Zealand,50% Dark Bites,3/19/2021,4207,391
Marney O'Breen,UK,Caramel Stuffed Bars,3/19/2021,6916,34
Gigi Bohling,Australia,Choco Coated Almonds,3/19/2021,2142,168
Karlen McCaffrey,UK,White Choc,3/19/2021,4403,166
Rafaelita Blaksland,India,Choco Coated Almonds,3/19/2021,3556,136
Marney O'Breen,UK,Organic Choco Syrup,3/19/2021,8974,522
Barr Faughny,UK,Raspberry Choco,3/19/2021,2072,465
Husein Augar,UK,Mint Chip Choco,3/19/2021,15113,117
Dennison Crosswaite,India,Spicy Special Slims,3/19/2021,9604,428
Kaine Padly,India,White Choc,3/19/2021,5285,659
Ches Bonnell,New Zealand,Milk Bars,3/19/2021,4298,423
Gunar Cockshoot,India,50% Dark Bites,3/19/2021,6601,262
Ches Bonnell,India,Drinking Coco,3/19/2021,6727,172
Oby Sorrel,USA,85% Dark Bars,3/19/2021,12488,232
Kelci Walkden,India,Caramel Stuffed Bars,3/19/2021,4228,283
Madelene Upcott,USA,99% Dark & Pure,3/19/2021,9303,161
Dotty Strutley,New Zealand,Choco Coated Almonds,3/19/2021,10934,373
Jan Morforth,Canada,After Nines,3/19/2021,6356,606
Rafaelita Blaksland,India,Organic Choco Syrup,3/19/2021,5509,272
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,3/19/2021,25984,97
Ches Bonnell,New Zealand,Orange Choco,3/19/2021,3871,286
Brien Boise,New Zealand,Manuka Honey Choco,3/19/2021,1715,622
Wilone O'Kielt,USA,Manuka Honey Choco,3/19/2021,609,496
Dennison Crosswaite,New Zealand,Spicy Special Slims,3/19/2021,1757,1400
Marney O'Breen,USA,Baker's Choco Chips,3/19/2021,2667,371
Jan Morforth,Australia,Peanut Butter Cubes,3/19/2021,917,215
Dennison Crosswaite,USA,Drinking Coco,3/19/2021,4130,173
Madelene Upcott,Australia,Choco Coated Almonds,3/19/2021,2786,88
Gigi Bohling,India,White Choc,3/19/2021,10171,1050
Curtice Advani,India,Baker's Choco Chips,3/19/2021,224,9
Madelene Upcott,UK,85% Dark Bars,3/19/2021,3696,411
Beverie Moffet,India,Peanut Butter Cubes,3/19/2021,1813,363
Jan Morforth,UK,Caramel Stuffed Bars,3/19/2021,6328,373
Beverie Moffet,New Zealand,Caramel Stuffed Bars,3/19/2021,6797,358
Ches Bonnell,Australia,Mint Chip Choco,3/22/2021,4137,93
Ches Bonnell,Australia,Orange Choco,3/22/2021,3283,70
Rafaelita Blaksland,New Zealand,Spicy Special Slims,3/22/2021,5439,840
Oby Sorrel,UK,Raspberry Choco,3/22/2021,10381,76
Gunar Cockshoot,India,70% Dark Bites,3/22/2021,4060,142
Wilone O'Kielt,USA,Smooth Sliky Salty,3/22/2021,2065,132
Kaine Padly,New Zealand,Fruit & Nut Bars,3/22/2021,13951,66
Dotty Strutley,New Zealand,After Nines,3/22/2021,7546,106
Beverie Moffet,New Zealand,Almond Choco,3/22/2021,1197,588
Beverie Moffet,UK,Drinking Coco,3/22/2021,21,412
Kelci Walkden,India,99% Dark & Pure,3/22/2021,763,198
Kaine Padly,New Zealand,Peanut Butter Cubes,3/22/2021,2114,335
Madelene Upcott,UK,Raspberry Choco,3/22/2021,1414,118
Ches Bonnell,India,85% Dark Bars,3/22/2021,623,283
Husein Augar,Australia,White Choc,3/22/2021,8610,186
Beverie Moffet,USA,Spicy Special Slims,3/22/2021,3262,50
Curtice Advani,India,99% Dark & Pure,3/22/2021,1505,314
Kaine Padly,New Zealand,Spicy Special Slims,3/22/2021,16646,327
Ches Bonnell,India,Caramel Stuffed Bars,3/22/2021,12306,141
Oby Sorrel,India,99% Dark & Pure,3/22/2021,9345,63
Brien Boise,Canada,Mint Chip Choco,3/22/2021,8176,22
Brien Boise,New Zealand,Caramel Stuffed Bars,3/22/2021,3927,64
Madelene Upcott,USA,50% Dark Bites,3/22/2021,252,72
Marney O'Breen,India,Drinking Coco,3/22/2021,16149,9
Brien Boise,New Zealand,Peanut Butter Cubes,3/22/2021,2065,259
Mallorie Waber,New Zealand,Manuka Honey Choco,3/22/2021,6153,362
Barr Faughny,India,85% Dark Bars,3/22/2021,1932,194
Jehu Rudeforth,Australia,Orange Choco,3/22/2021,70,4
Ches Bonnell,Canada,Smooth Sliky Salty,3/22/2021,455,46
Madelene Upcott,New Zealand,Baker's Choco Chips,3/22/2021,7203,267
Kaine Padly,New Zealand,Peanut Butter Cubes,3/22/2021,7784,1120
Mallorie Waber,New Zealand,Drinking Coco,3/22/2021,7154,276
Kelci Walkden,India,Manuka Honey Choco,3/23/2021,6328,770
Wilone O'Kielt,India,85% Dark Bars,3/23/2021,2289,68
Madelene Upcott,New Zealand,Baker's Choco Chips,3/23/2021,1953,486
Kelci Walkden,Canada,50% Dark Bites,3/23/2021,7518,130
Oby Sorrel,India,Peanut Butter Cubes,3/23/2021,3234,248
Dotty Strutley,India,Eclairs,3/23/2021,4123,356
Andria Kimpton,New Zealand,Spicy Special Slims,3/23/2021,7665,133
Gunar Cockshoot,Australia,Baker's Choco Chips,3/23/2021,3563,666
Marney O'Breen,Canada,Caramel Stuffed Bars,3/23/2021,644,51
Karlen McCaffrey,Australia,Spicy Special Slims,3/23/2021,875,1120
Curtice Advani,New Zealand,White Choc,3/23/2021,245,34
Barr Faughny,UK,Eclairs,3/23/2021,1295,55
Jan Morforth,India,Almond Choco,3/23/2021,1904,527
Gigi Bohling,Canada,Mint Chip Choco,3/23/2021,12642,216
Madelene Upcott,India,Milk Bars,3/23/2021,6804,345
Kelci Walkden,UK,Baker's Choco Chips,3/23/2021,826,40
Oby Sorrel,UK,Milk Bars,3/23/2021,406,17
Andria Kimpton,Canada,50% Dark Bites,3/23/2021,2436,91
Dotty Strutley,USA,99% Dark & Pure,3/23/2021,7994,421
Barr Faughny,New Zealand,Organic Choco Syrup,3/23/2021,5033,153
Brien Boise,USA,Caramel Stuffed Bars,3/23/2021,16660,770
Curtice Advani,USA,Organic Choco Syrup,3/23/2021,16394,566
Mallorie Waber,UK,Caramel Stuffed Bars,3/23/2021,168,7
Beverie Moffet,India,Manuka Honey Choco,3/23/2021,15225,770
Dotty Strutley,Australia,70% Dark Bites,3/23/2021,3661,147
Gigi Bohling,India,Organic Choco Syrup,3/24/2021,3171,910
Brien Boise,India,Fruit & Nut Bars,3/24/2021,2198,83
Curtice Advani,Australia,Choco Coated Almonds,3/24/2021,7245,185
Brien Boise,USA,White Choc,3/24/2021,4235,604
Gigi Bohling,USA,Milk Bars,3/24/2021,595,452
Gigi Bohling,Australia,Caramel Stuffed Bars,3/24/2021,2954,269
Wilone O'Kielt,Australia,Almond Choco,3/24/2021,10262,294
Brien Boise,UK,Almond Choco,3/24/2021,6482,353
Dennison Crosswaite,India,50% Dark Bites,3/24/2021,1953,287
Dennison Crosswaite,UK,Drinking Coco,3/24/2021,3073,49
Curtice Advani,Canada,Mint Chip Choco,3/24/2021,2436,385
Andria Kimpton,Canada,Smooth Sliky Salty,3/24/2021,686,306
Kelci Walkden,New Zealand,Almond Choco,3/24/2021,4235,46
Kaine Padly,Canada,Manuka Honey Choco,3/24/2021,2891,467
Marney O'Breen,Australia,Eclairs,3/24/2021,4823,559
Barr Faughny,Australia,Eclairs,3/24/2021,12054,217
Beverie Moffet,USA,Drinking Coco,3/24/2021,1981,154
Dotty Strutley,India,Fruit & Nut Bars,3/24/2021,8862,187
Jan Morforth,India,50% Dark Bites,3/24/2021,3416,428
Andria Kimpton,Canada,50% Dark Bites,3/24/2021,2149,229
Ches Bonnell,New Zealand,Fruit & Nut Bars,3/24/2021,2443,154
Jehu Rudeforth,USA,Peanut Butter Cubes,3/24/2021,1638,273
Van Tuxwell,India,White Choc,3/24/2021,5607,1120
Andria Kimpton,Canada,Organic Choco Syrup,3/24/2021,6160,220
Jan Morforth,New Zealand,Fruit & Nut Bars,3/24/2021,7945,663
Barr Faughny,India,Eclairs,3/24/2021,1197,43
Van Tuxwell,New Zealand,Drinking Coco,3/24/2021,756,24
Barr Faughny,New Zealand,Smooth Sliky Salty,3/24/2021,3178,245
Husein Augar,Australia,Milk Bars,3/24/2021,2772,164
Jan Morforth,India,Raspberry Choco,3/25/2021,574,303
Kelci Walkden,USA,After Nines,3/25/2021,8309,149
Marney O'Breen,UK,Baker's Choco Chips,3/25/2021,5208,174
Jan Morforth,Canada,Caramel Stuffed Bars,3/25/2021,168,91
Jan Morforth,Canada,Baker's Choco Chips,3/25/2021,1778,160
Oby Sorrel,New Zealand,Milk Bars,3/25/2021,7063,355
Marney O'Breen,USA,Orange Choco,3/25/2021,8918,690
Dotty Strutley,Australia,Milk Bars,3/25/2021,4613,144
Rafaelita Blaksland,Canada,Baker's Choco Chips,3/25/2021,560,57
Marney O'Breen,UK,Almond Choco,3/25/2021,5495,220
Madelene Upcott,Canada,White Choc,3/25/2021,5096,700
Roddy Speechley,India,Baker's Choco Chips,3/25/2021,7889,304
Husein Augar,New Zealand,Eclairs,3/25/2021,805,29
Wilone O'Kielt,New Zealand,Peanut Butter Cubes,3/25/2021,9639,1400
Marney O'Breen,India,Eclairs,3/25/2021,10913,377
Wilone O'Kielt,New Zealand,50% Dark Bites,3/25/2021,2324,93
Brien Boise,New Zealand,After Nines,3/25/2021,3598,225
Brien Boise,Canada,Almond Choco,3/25/2021,5509,221
Marney O'Breen,Canada,Fruit & Nut Bars,3/25/2021,3997,223
Brien Boise,USA,Almond Choco,3/26/2021,10808,184
Wilone O'Kielt,India,Spicy Special Slims,3/26/2021,315,1260
Curtice Advani,New Zealand,Eclairs,3/26/2021,2702,124
Marney O'Breen,India,Baker's Choco Chips,3/26/2021,7539,340
Gigi Bohling,Australia,70% Dark Bites,3/26/2021,2065,453
Curtice Advani,Australia,99% Dark & Pure,3/26/2021,336,244
Husein Augar,USA,After Nines,3/26/2021,8162,207
Ches Bonnell,Canada,Smooth Sliky Salty,3/26/2021,1848,18
Barr Faughny,Canada,Choco Coated Almonds,3/26/2021,35,83
Kelci Walkden,Australia,Caramel Stuffed Bars,3/26/2021,3199,166
Karlen McCaffrey,USA,Milk Bars,3/26/2021,8393,524
Andria Kimpton,New Zealand,Drinking Coco,3/26/2021,5516,182
Madelene Upcott,New Zealand,Almond Choco,3/26/2021,4879,146
Barr Faughny,USA,Choco Coated Almonds,3/26/2021,3129,150
Gunar Cockshoot,USA,Milk Bars,3/26/2021,14119,275
Andria Kimpton,UK,Peanut Butter Cubes,3/26/2021,119,149
Beverie Moffet,India,Mint Chip Choco,3/26/2021,10017,381
Gigi Bohling,Australia,Fruit & Nut Bars,3/26/2021,9065,840
Marney O'Breen,New Zealand,Almond Choco,3/26/2021,2555,107
Ches Bonnell,India,Milk Bars,3/26/2021,5082,318
Marney O'Breen,India,Manuka Honey Choco,3/26/2021,6657,333
Kelci Walkden,USA,85% Dark Bars,3/26/2021,1827,183
Brien Boise,Canada,Caramel Stuffed Bars,3/29/2021,6580,43
Oby Sorrel,Australia,White Choc,3/29/2021,6419,198
Oby Sorrel,New Zealand,After Nines,3/29/2021,9730,175
Curtice Advani,USA,99% Dark & Pure,3/29/2021,5845,248
Kelci Walkden,USA,Manuka Honey Choco,3/29/2021,3206,644
Curtice Advani,Australia,Manuka Honey Choco,3/29/2021,1316,55
Karlen McCaffrey,USA,99% Dark & Pure,3/29/2021,9660,460
Kaine Padly,Canada,Mint Chip Choco,3/29/2021,6405,321
Curtice Advani,New Zealand,Orange Choco,3/29/2021,1568,98
Beverie Moffet,Canada,99% Dark & Pure,3/30/2021,1064,64
Madelene Upcott,Australia,Almond Choco,3/30/2021,6237,205
Gigi Bohling,USA,Drinking Coco,3/30/2021,11130,152
Rafaelita Blaksland,Australia,Fruit & Nut Bars,3/30/2021,8043,140
Ches Bonnell,Canada,Milk Bars,3/30/2021,2618,371
Husein Augar,Australia,Manuka Honey Choco,3/30/2021,9527,555
Husein Augar,USA,Almond Choco,3/30/2021,16002,840
Kaine Padly,New Zealand,Eclairs,3/30/2021,4872,75
Rafaelita Blaksland,USA,Milk Bars,3/30/2021,91,840
Karlen McCaffrey,USA,Caramel Stuffed Bars,3/30/2021,1995,183
Brien Boise,Canada,Almond Choco,3/30/2021,11368,201
Barr Faughny,New Zealand,70% Dark Bites,3/30/2021,8211,198
Wilone O'Kielt,UK,Eclairs,3/30/2021,1358,14
Brien Boise,Canada,50% Dark Bites,3/30/2021,1008,90
Ches Bonnell,USA,Spicy Special Slims,3/30/2021,5852,2310
Karlen McCaffrey,UK,After Nines,3/30/2021,1169,283
Van Tuxwell,USA,Smooth Sliky Salty,3/30/2021,2387,199
Jehu Rudeforth,Canada,Fruit & Nut Bars,3/30/2021,9730,980
Rafaelita Blaksland,Canada,Organic Choco Syrup,3/30/2021,1421,60
Beverie Moffet,New Zealand,Choco Coated Almonds,3/30/2021,1582,50
Wilone O'Kielt,UK,Choco Coated Almonds,3/30/2021,3654,115
Kelci Walkden,UK,Organic Choco Syrup,3/30/2021,6566,227
Jan Morforth,USA,Caramel Stuffed Bars,3/30/2021,4200,162
Brien Boise,New Zealand,Caramel Stuffed Bars,3/30/2021,14,1
Gunar Cockshoot,New Zealand,Baker's Choco Chips,3/30/2021,1358,47
Dennison Crosswaite,UK,85% Dark Bars,3/30/2021,8036,980
Andria Kimpton,Australia,50% Dark Bites,3/30/2021,63,3
Jan Morforth,Australia,50% Dark Bites,3/30/2021,6622,246
Husein Augar,Canada,99% Dark & Pure,3/30/2021,2044,86
Rafaelita Blaksland,Australia,Peanut Butter Cubes,3/30/2021,6272,628
Roddy Speechley,India,Organic Choco Syrup,3/30/2021,9254,331
Dotty Strutley,Australia,After Nines,3/30/2021,7847,462
Curtice Advani,UK,Orange Choco,3/31/2021,1862,530
Oby Sorrel,India,Baker's Choco Chips,3/31/2021,2730,318
Gigi Bohling,New Zealand,Drinking Coco,3/31/2021,9485,213
Curtice Advani,New Zealand,Fruit & Nut Bars,3/31/2021,2177,95
Wilone O'Kielt,Canada,Drinking Coco,3/31/2021,8148,176
Barr Faughny,Canada,Smooth Sliky Salty,3/31/2021,7042,179
Dotty Strutley,New Zealand,Manuka Honey Choco,3/31/2021,12698,840
Husein Augar,New Zealand,Drinking Coco,3/31/2021,5173,424
Beverie Moffet,India,Eclairs,3/31/2021,6587,545
Wilone O'Kielt,USA,70% Dark Bites,3/31/2021,2597,521
Jan Morforth,New Zealand,Milk Bars,3/31/2021,14042,301
Kelci Walkden,New Zealand,Orange Choco,3/31/2021,742,262
Gunar Cockshoot,India,Peanut Butter Cubes,3/31/2021,14770,60
Dennison Crosswaite,USA,Organic Choco Syrup,3/31/2021,7840,58
Beverie Moffet,Australia,Eclairs,3/31/2021,5964,252
Dennison Crosswaite,Australia,85% Dark Bars,3/31/2021,9513,399
Wilone O'Kielt,UK,Organic Choco Syrup,3/31/2021,4655,503
Gunar Cockshoot,Canada,Smooth Sliky Salty,3/31/2021,12068,38
Kaine Padly,India,50% Dark Bites,3/31/2021,6846,487
Oby Sorrel,Australia,99% Dark & Pure,3/31/2021,5250,60
Gigi Bohling,USA,Caramel Stuffed Bars,3/31/2021,3283,138
Jan Morforth,India,Drinking Coco,3/31/2021,6650,289
Marney O'Breen,UK,Choco Coated Almonds,3/31/2021,2100,185
Barr Faughny,Canada,Milk Bars,3/31/2021,7770,379
Dotty Strutley,Canada,Almond Choco,3/31/2021,5005,910
Camilla Castle,UK,Orange Choco,3/31/2021,2177,168
Brien Boise,Canada,Raspberry Choco,3/31/2021,8582,537
Karlen McCaffrey,UK,Milk Bars,3/31/2021,3325,208
Wilone O'Kielt,USA,Smooth Sliky Salty,3/31/2021,8855,980
Gunar Cockshoot,New Zealand,Orange Choco,4/1/2021,1617,840
Gigi Bohling,Australia,Milk Bars,4/1/2021,4270,166
Kelci Walkden,India,85% Dark Bars,4/1/2021,9674,434
Karlen McCaffrey,Australia,Almond Choco,4/1/2021,3465,156
Barr Faughny,UK,70% Dark Bites,4/1/2021,553,89
Dennison Crosswaite,India,Fruit & Nut Bars,4/1/2021,3535,264
Madelene Upcott,Australia,85% Dark Bars,4/1/2021,10094,242
Marney O'Breen,New Zealand,85% Dark Bars,4/1/2021,5418,514
Husein Augar,USA,Drinking Coco,4/1/2021,2786,770
Dotty Strutley,Canada,Milk Bars,4/1/2021,5082,408
Madelene Upcott,New Zealand,Fruit & Nut Bars,4/1/2021,2996,229
Andria Kimpton,USA,Smooth Sliky Salty,4/1/2021,1071,130
Dotty Strutley,USA,Smooth Sliky Salty,4/1/2021,9828,280
Curtice Advani,UK,White Choc,4/1/2021,392,210
Gigi Bohling,UK,99% Dark & Pure,4/1/2021,455,189
Dennison Crosswaite,Canada,Almond Choco,4/1/2021,3115,415
Dotty Strutley,UK,50% Dark Bites,4/1/2021,2744,67
Kelci Walkden,Canada,Fruit & Nut Bars,4/1/2021,161,167
Madelene Upcott,India,Fruit & Nut Bars,4/1/2021,9737,840
Oby Sorrel,New Zealand,Orange Choco,4/1/2021,1932,96
Oby Sorrel,UK,Peanut Butter Cubes,4/1/2021,1841,232
Wilone O'Kielt,Canada,Almond Choco,4/1/2021,6909,347
Gunar Cockshoot,India,Manuka Honey Choco,4/1/2021,3304,269
Oby Sorrel,Canada,Almond Choco,4/1/2021,3297,202
Brien Boise,USA,Raspberry Choco,4/1/2021,3633,520
Karlen McCaffrey,India,Almond Choco,4/1/2021,5285,641
Kaine Padly,India,85% Dark Bars,4/1/2021,2093,840
Beverie Moffet,Australia,Organic Choco Syrup,4/1/2021,5264,194
Gunar Cockshoot,UK,Eclairs,4/1/2021,1701,95
Gunar Cockshoot,New Zealand,Choco Coated Almonds,4/1/2021,140,5
Camilla Castle,Canada,Milk Bars,4/1/2021,3745,163
Dennison Crosswaite,Australia,Smooth Sliky Salty,4/1/2021,7560,473
Madelene Upcott,New Zealand,Manuka Honey Choco,4/1/2021,1470,70
Beverie Moffet,USA,Manuka Honey Choco,4/1/2021,4480,224
Brien Boise,USA,99% Dark & Pure,4/1/2021,567,23
Wilone O'Kielt,Canada,After Nines,4/1/2021,63,5
Andria Kimpton,Australia,99% Dark & Pure,4/1/2021,5544,222
Beverie Moffet,Canada,Orange Choco,4/1/2021,5985,375
Oby Sorrel,Australia,50% Dark Bites,4/2/2021,1232,490
Kaine Padly,Canada,Choco Coated Almonds,4/2/2021,1617,408
Andria Kimpton,New Zealand,Eclairs,4/2/2021,1393,76
Husein Augar,UK,Smooth Sliky Salty,4/2/2021,1561,68
Marney O'Breen,India,Caramel Stuffed Bars,4/2/2021,1120,103
Beverie Moffet,New Zealand,Manuka Honey Choco,4/2/2021,3745,242
Madelene Upcott,Australia,Manuka Honey Choco,4/2/2021,8407,15
Wilone O'Kielt,Canada,99% Dark & Pure,4/2/2021,2212,3
Wilone O'Kielt,India,70% Dark Bites,4/2/2021,5754,406
Barr Faughny,New Zealand,Spicy Special Slims,4/2/2021,378,314
Brien Boise,USA,50% Dark Bites,4/2/2021,12481,840
Wilone O'Kielt,UK,Drinking Coco,4/2/2021,371,306
Dennison Crosswaite,UK,Organic Choco Syrup,4/2/2021,2415,1120
Oby Sorrel,Canada,Orange Choco,4/2/2021,6545,162
Madelene Upcott,Canada,Eclairs,4/2/2021,3339,449
Kelci Walkden,Canada,Milk Bars,4/2/2021,504,32
Ches Bonnell,USA,85% Dark Bars,4/2/2021,1232,77
Karlen McCaffrey,India,Milk Bars,4/2/2021,21,1
Dennison Crosswaite,Canada,White Choc,4/2/2021,7518,1050
Husein Augar,Australia,Spicy Special Slims,4/2/2021,4032,156
Ches Bonnell,India,Almond Choco,4/2/2021,1827,71
Kelci Walkden,USA,Eclairs,4/2/2021,4746,207
Dennison Crosswaite,New Zealand,99% Dark & Pure,4/2/2021,5509,230
Andria Kimpton,New Zealand,Organic Choco Syrup,4/2/2021,7840,327
Van Tuxwell,UK,After Nines,4/2/2021,3171,212
Gigi Bohling,Australia,White Choc,4/5/2021,1162,425
Kaine Padly,USA,70% Dark Bites,4/5/2021,952,160
Kaine Padly,USA,Raspberry Choco,4/5/2021,2135,700
Wilone O'Kielt,USA,Almond Choco,4/5/2021,3269,247
Beverie Moffet,USA,70% Dark Bites,4/5/2021,4382,255
Dotty Strutley,UK,White Choc,4/5/2021,1001,147
Andria Kimpton,UK,Fruit & Nut Bars,4/5/2021,2898,364
Brien Boise,Canada,Fruit & Nut Bars,4/5/2021,1428,106
Madelene Upcott,Australia,Mint Chip Choco,4/5/2021,4767,7
Dennison Crosswaite,India,99% Dark & Pure,4/5/2021,1064,154
Ches Bonnell,New Zealand,Smooth Sliky Salty,4/5/2021,1141,335
Curtice Advani,UK,Drinking Coco,4/5/2021,273,74
Husein Augar,India,Organic Choco Syrup,4/5/2021,2737,69
Gunar Cockshoot,UK,Raspberry Choco,4/5/2021,602,89
Dennison Crosswaite,UK,Manuka Honey Choco,4/5/2021,3962,83
Wilone O'Kielt,Canada,Fruit & Nut Bars,4/5/2021,7441,184
Karlen McCaffrey,Australia,Manuka Honey Choco,4/5/2021,5845,504
Ches Bonnell,USA,Raspberry Choco,4/5/2021,2513,19
Rafaelita Blaksland,India,Caramel Stuffed Bars,4/5/2021,4319,150
Curtice Advani,Australia,Milk Bars,4/5/2021,5397,242
Ches Bonnell,Australia,Milk Bars,4/5/2021,4613,433
Madelene Upcott,Canada,70% Dark Bites,4/5/2021,959,620
Barr Faughny,USA,Orange Choco,4/5/2021,4648,192
Husein Augar,Canada,Smooth Sliky Salty,4/5/2021,259,262
Barr Faughny,Canada,Spicy Special Slims,4/5/2021,2114,82
Madelene Upcott,USA,85% Dark Bars,4/5/2021,588,42
Andria Kimpton,Australia,After Nines,4/5/2021,8246,486
Wilone O'Kielt,Australia,White Choc,4/5/2021,5117,840
Madelene Upcott,UK,Almond Choco,4/5/2021,2086,72
Karlen McCaffrey,New Zealand,99% Dark & Pure,4/5/2021,2611,109
Roddy Speechley,UK,Peanut Butter Cubes,4/5/2021,2667,191
Jehu Rudeforth,Australia,Fruit & Nut Bars,4/5/2021,1736,92
Oby Sorrel,Australia,Raspberry Choco,4/5/2021,4207,301
Dennison Crosswaite,India,99% Dark & Pure,4/5/2021,413,26
Mallorie Waber,India,Eclairs,4/5/2021,9324,389
Brien Boise,USA,Organic Choco Syrup,4/5/2021,2345,98
Beverie Moffet,Canada,Smooth Sliky Salty,4/5/2021,15540,1120
Wilone O'Kielt,Canada,Almond Choco,4/5/2021,9604,370
Kaine Padly,New Zealand,Mint Chip Choco,4/5/2021,4389,183
Gunar Cockshoot,USA,Spicy Special Slims,4/5/2021,7007,242
Wilone O'Kielt,UK,Baker's Choco Chips,4/5/2021,7679,334
Curtice Advani,Canada,Caramel Stuffed Bars,4/6/2021,763,256
Ches Bonnell,Australia,Organic Choco Syrup,4/6/2021,9331,840
Andria Kimpton,Canada,70% Dark Bites,4/6/2021,434,34
Rafaelita Blaksland,Australia,Manuka Honey Choco,4/6/2021,6965,634
Gunar Cockshoot,New Zealand,Smooth Sliky Salty,4/6/2021,196,9
Brien Boise,USA,Orange Choco,4/6/2021,7063,643
Curtice Advani,UK,Almond Choco,4/6/2021,4102,342
Beverie Moffet,India,White Choc,4/6/2021,11361,700
Dotty Strutley,UK,Manuka Honey Choco,4/6/2021,5446,454
Wilone O'Kielt,Canada,Choco Coated Almonds,4/6/2021,819,33
Kelci Walkden,New Zealand,White Choc,4/6/2021,2975,186
Oby Sorrel,USA,Choco Coated Almonds,4/6/2021,763,31
Oby Sorrel,Canada,85% Dark Bars,4/6/2021,658,44
Oby Sorrel,USA,99% Dark & Pure,4/6/2021,7616,332
Brien Boise,UK,Organic Choco Syrup,4/6/2021,1883,189
Mallorie Waber,UK,Baker's Choco Chips,4/6/2021,11074,411
Gunar Cockshoot,New Zealand,Milk Bars,4/6/2021,2058,109
Brien Boise,USA,Mint Chip Choco,4/6/2021,476,20
Barr Faughny,Australia,After Nines,4/6/2021,9380,447
Andria Kimpton,UK,After Nines,4/6/2021,14210,1120
Jan Morforth,New Zealand,Choco Coated Almonds,4/6/2021,3402,122
Rafaelita Blaksland,Australia,Mint Chip Choco,4/6/2021,7357,273
Brien Boise,India,Almond Choco,4/6/2021,5544,206
Dotty Strutley,India,White Choc,4/6/2021,315,25
Gunar Cockshoot,New Zealand,Milk Bars,4/7/2021,1764,118
Gigi Bohling,India,After Nines,4/7/2021,6489,840
Gigi Bohling,USA,Choco Coated Almonds,4/7/2021,4060,157
Andria Kimpton,USA,Raspberry Choco,4/7/2021,973,98
Andria Kimpton,USA,Manuka Honey Choco,4/7/2021,5159,469
Beverie Moffet,New Zealand,Raspberry Choco,4/7/2021,5159,516
Madelene Upcott,USA,85% Dark Bars,4/7/2021,2779,186
Gunar Cockshoot,UK,85% Dark Bars,4/7/2021,448,28
Andria Kimpton,USA,Choco Coated Almonds,4/7/2021,7637,294
Jan Morforth,UK,Smooth Sliky Salty,4/7/2021,5327,485
Gigi Bohling,India,50% Dark Bites,4/7/2021,4242,147
Marney O'Breen,Canada,Caramel Stuffed Bars,4/7/2021,1603,95
Kelci Walkden,New Zealand,Orange Choco,4/7/2021,1946,122
Beverie Moffet,Canada,White Choc,4/7/2021,8442,650
Kelci Walkden,UK,Spicy Special Slims,4/7/2021,1848,60
Karlen McCaffrey,Canada,50% Dark Bites,4/7/2021,1694,74
Gunar Cockshoot,Australia,Manuka Honey Choco,4/7/2021,5397,285
Karlen McCaffrey,New Zealand,Mint Chip Choco,4/7/2021,10591,530
Wilone O'Kielt,Canada,70% Dark Bites,4/7/2021,1834,64
Curtice Advani,UK,Manuka Honey Choco,4/7/2021,2317,129
Camilla Castle,Australia,Caramel Stuffed Bars,4/7/2021,5922,247
Madelene Upcott,UK,Manuka Honey Choco,4/7/2021,2961,228
Kelci Walkden,Australia,Choco Coated Almonds,4/7/2021,10157,318
Brien Boise,Canada,99% Dark & Pure,4/7/2021,231,15
Camilla Castle,Australia,Baker's Choco Chips,4/7/2021,2618,105
Van Tuxwell,Australia,Organic Choco Syrup,4/7/2021,5929,212
Dennison Crosswaite,UK,Smooth Sliky Salty,4/7/2021,18739,1540
Dotty Strutley,UK,Eclairs,4/7/2021,665,29
Kaine Padly,UK,White Choc,4/7/2021,1841,231
Madelene Upcott,Canada,Peanut Butter Cubes,4/8/2021,2541,102
Ches Bonnell,UK,Spicy Special Slims,4/8/2021,2737,457
Gigi Bohling,India,Baker's Choco Chips,4/8/2021,630,45
Kaine Padly,USA,Manuka Honey Choco,4/8/2021,12642,1120
Rafaelita Blaksland,India,70% Dark Bites,4/8/2021,1750,125
Kelci Walkden,Australia,Almond Choco,4/8/2021,1344,112
Barr Faughny,Australia,Orange Choco,4/8/2021,1617,147
Kelci Walkden,USA,Caramel Stuffed Bars,4/8/2021,91,4
Barr Faughny,New Zealand,85% Dark Bars,4/8/2021,98,7
Karlen McCaffrey,Canada,Manuka Honey Choco,4/8/2021,4095,342
Brien Boise,New Zealand,50% Dark Bites,4/8/2021,8302,593
Rafaelita Blaksland,New Zealand,99% Dark & Pure,4/8/2021,7854,342
Madelene Upcott,India,Manuka Honey Choco,4/8/2021,5313,443
Beverie Moffet,Australia,Fruit & Nut Bars,4/8/2021,6153,440
Jehu Rudeforth,UK,Baker's Choco Chips,4/8/2021,1253,45
Gunar Cockshoot,USA,Smooth Sliky Salty,4/8/2021,8631,770
Ches Bonnell,Australia,Caramel Stuffed Bars,4/8/2021,12047,700
